"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 13일","11,364.9","11,762.8","11,798.4","10,839.4","747.71K","-3.38%"
"2019년 07월 12일","11,762.1","11,343.7","11,881.4","11,109.8","738.17K","3.70%"
"2019년 07월 11일","11,342.3","12,111.6","12,111.6","11,029.0","943.13K","-6.34%"
"2019년 07월 10일","12,110.6","12,542.8","13,134.4","11,594.9","1.11M","-3.44%"
"2019년 07월 09일","12,541.5","12,250.6","12,772.9","12,111.2","847.84K","2.36%"
"2019년 07월 08일","12,252.6","11,415.8","12,332.3","11,304.8","695.60K","7.33%"
"2019년 07월 07일","11,415.9","11,267.9","11,524.6","11,108.1","601.93K","1.31%"
"2019년 07월 06일","11,268.0","10,969.8","11,650.2","10,967.9","688.96K","2.71%"
"2019년 07월 05일","10,970.2","11,159.7","11,381.8","10,810.3","772.67K","-1.73%"
"2019년 07월 04일","11,163.1","11,899.3","11,948.0","11,087.1","840.34K","-6.20%"
"2019년 07월 03일","11,900.8","10,835.9","11,931.8","10,835.9","998.73K","9.83%"
"2019년 07월 02일","10,835.9","10,615.5","10,923.5","9,728.5","1.12M","2.07%"
"2019년 07월 01일","10,616.6","10,821.4","11,254.5","10,041.6","1.04M","-1.87%"
"2019년 06월 30일","10,818.6","11,906.0","12,179.3","10,765.4","880.77K","-9.14%"
"2019년 06월 29일","11,906.5","12,408.0","12,422.9","11,490.8","834.62K","-4.05%"
"2019년 06월 28일","12,409.1","11,288.4","12,461.8","10,970.5","1.09M","9.93%"
"2019년 06월 27일","11,287.8","13,062.4","13,422.0","10,493.5","1.59M","-13.59%"
"2019년 06월 26일","13,063.8","11,811.6","13,929.8","11,747.3","1.48M","10.62%"
"2019년 06월 25일","11,809.9","11,046.6","11,833.9","11,033.7","781.09K","6.91%"
"2019년 06월 24일","11,046.4","10,897.3","11,114.4","10,622.6","566.96K","1.37%"
"2019년 06월 23일","10,897.1","10,721.5","11,361.3","10,557.8","683.79K","1.64%"
"2019년 06월 22일","10,721.7","10,178.1","11,160.5","10,031.3","1.09M","5.33%"
"2019년 06월 21일","10,179.3","9,517.7","10,184.3","9,517.4","769.12K","6.96%"
"2019년 06월 20일","9,517.0","9,255.0","9,583.9","9,188.4","693.62K","2.83%"
"2019년 06월 19일","9,255.4","9,080.7","9,295.1","9,044.0","587.57K","1.93%"
"2019년 06월 18일","9,080.6","9,318.9","9,336.1","8,962.7","723.17K","-2.56%"
"2019년 06월 17일","9,318.8","8,961.0","9,438.1","8,959.8","738.80K","3.98%"
"2019년 06월 16일","8,962.5","8,812.2","9,332.0","8,771.1","849.77K","1.70%"
"2019년 06월 15일","8,812.5","8,655.8","8,856.7","8,582.3","608.69K","1.81%"
"2019년 06월 14일","8,656.1","8,218.6","8,685.3","8,153.2","643.17K","5.32%"
"2019년 06월 13일","8,219.0","8,132.4","8,306.1","8,028.6","574.21K","1.06%"
"2019년 06월 12일","8,133.1","7,888.0","8,198.1","7,805.8","607.89K","3.11%"
"2019년 06월 11일","7,888.0","7,987.8","8,010.4","7,714.5","579.00K","-1.25%"
"2019년 06월 10일","7,987.8","7,635.0","8,012.8","7,523.6","641.38K","4.62%"
"2019년 06월 09일","7,635.0","7,901.6","7,937.5","7,516.9","554.48K","-3.37%"
"2019년 06월 08일","7,901.4","7,985.3","8,044.4","7,770.5","485.81K","-1.05%"
"2019년 06월 07일","7,985.2","7,785.8","8,099.4","7,749.4","588.87K","2.57%"
"2019년 06월 06일","7,784.9","7,779.6","7,861.4","7,480.4","651.82K","0.08%"
"2019년 06월 05일","7,779.1","7,685.6","7,885.0","7,590.4","762.94K","1.22%"
"2019년 06월 04일","7,685.5","8,118.1","8,118.1","7,494.0","966.95K","-5.41%"
"2019년 06월 03일","8,124.8","8,728.6","8,734.9","8,102.7","739.45K","-6.92%"
"2019년 06월 02일","8,728.6","8,545.8","8,807.7","8,534.8","614.54K","2.14%"
"2019년 06월 01일","8,545.7","8,556.9","8,615.8","8,454.0","686.75K","-0.15%"
"2019년 05월 31일","8,558.3","8,271.4","8,578.8","8,135.0","858.41K","3.46%"
"2019년 05월 30일","8,271.9","8,647.8","9,045.9","8,054.7","1.04M","-4.35%"
"2019년 05월 29일","8,647.8","8,715.6","8,747.2","8,435.3","15.43M","-0.79%"
"2019년 05월 28일","8,716.3","8,759.4","8,794.1","8,568.8","763.20K","-0.50%"
"2019년 05월 27일","8,760.1","8,628.9","8,902.8","8,607.3","907.96K","1.51%"
"2019년 05월 26일","8,630.2","8,029.6","8,718.6","7,866.5","872.12K","7.51%"
"2019년 05월 25일","8,027.4","7,971.4","8,090.1","7,919.1","691.27K","0.72%"
"2019년 05월 24일","7,970.1","7,852.8","8,124.1","7,775.4","868.47K","1.50%"
"2019년 05월 23일","7,852.1","7,637.2","7,939.1","7,486.8","815.14K","2.83%"
"2019년 05월 22일","7,635.7","7,928.7","7,999.0","7,545.9","821.40K","-3.72%"
"2019년 05월 21일","7,930.3","7,965.0","8,056.8","7,813.2","804.88K","-0.44%"
"2019년 05월 20일","7,965.3","8,156.4","8,156.4","7,604.0","958.81K","-2.35%"
"2019년 05월 19일","8,157.2","7,261.9","8,253.4","7,252.3","1.08M","12.32%"
"2019년 05월 18일","7,262.6","7,359.9","7,458.5","7,189.4","865.53K","-1.32%"
"2019년 05월 17일","7,359.5","7,871.9","7,924.0","6,998.6","1.43M","-6.51%"
"2019년 05월 16일","7,871.8","8,164.8","8,293.3","7,720.4","1.18M","-3.59%"
"2019년 05월 15일","8,164.6","7,994.8","8,225.3","7,856.5","1.13M","2.13%"
"2019년 05월 14일","7,994.6","7,806.4","8,323.9","7,674.0","1.33M","2.42%"
"2019년 05월 13일","7,806.0","6,984.7","8,058.3","6,893.1","1.20M","11.76%"
"2019년 05월 12일","6,984.8","7,190.0","7,518.9","6,802.6","1.35M","-2.86%"
"2019년 05월 11일","7,190.3","6,386.6","7,373.8","6,386.5","1.31M","12.59%"
"2019년 05월 10일","6,386.0","6,194.3","6,466.6","6,157.8","907.94K","3.14%"
"2019년 05월 09일","6,191.5","5,990.5","6,206.0","5,990.0","799.96K","3.36%"
"2019년 05월 08일","5,990.3","5,849.4","6,011.3","5,799.1","757.13K","2.41%"
"2019년 05월 07일","5,849.5","5,745.5","6,019.8","5,745.5","955.88K","1.82%"
"2019년 05월 06일","5,745.1","5,775.1","5,801.4","5,630.5","755.39K","-0.52%"
"2019년 05월 05일","5,774.9","5,830.8","5,838.2","5,708.2","709.02K","-0.96%"
"2019년 05월 04일","5,830.9","5,768.0","5,899.2","5,605.0","920.61K","1.11%"
